SetID,Number,Variant,Theme,SubTheme,Year,SetName,Minifigs,Pieces,UKPrice,USPrice,CAPrice,Image,ImageFilename,InstructionsAvailable,EAN,UPC
8048,"10216","1","Seasonal","Winter Village","2010","Winter Village Bakery",7,687,50.99,54.99,74.99,"True","10216-1","","673419128988"
8201,"10217","1","Harry Potter","General","2011","Diagon Alley",12,2025,132.99,149.99,199.99,"True","10217-1","","673419140898"
8704,"10218","1","Large Models","Modular Buildings","2011","Pet Shop",4,2032,119.99,149.99,199.99,"True","10218-1","","673419145350"
8639,"10219","1","Trains","9 V","2011","Maersk Train",3,1237,91.99,119.99,154.99,"True","10219-1","",""
8706,"10220","1","Large Models","Vehicles","2011","Volkswagen T1 Camper Van",,1332,79.99,119.99,129.99,"True","10220-1","","673419169233"
8733,"10221","1","Star Wars","Ultimate Collector Series","2011","Super Star Destroyer ",5,3152,349.99,399.99,499.99,"True","10221-1","",""
8705,"10222","1","Seasonal","Winter Village","2011","Winter Village Post Office",7,822,49.99,69.99,79.99,"True","10222-1","","673419145374"
9022,"10223","1","Castle","Kingdoms","2012","Kingdoms Joust",9,1575,99.99,119.99,149.99,"True","10223-1","",""
9283,"10224","1","Large Models","Modular Buildings","2012","Town Hall",8,2766,149.99,199.99,249.99,"True","10224-1","",""
9286,"10225","1","Star Wars","Ultimate Collector Series","2012","R2-D2",1,2127,149.99,179.99,229.99,"True","10225-1","",""
9287,"10226","1","Large Models","Aircraft","2012","Sopwith Camel",,883,79.99,99.99,129.99,"True","10226-1","",""
9288,"10227","1","Star Wars","Ultimate Collector Series","2012","B-wing",,,,,,"True","10227-1","",""
9358,"10228","1","Monster Fighters","","2012","Haunted House",,2064,,,,"True","10228-1","",""
9771,"10229","1","Seasonal","Winter Village","2012","{Winter village cabin}",,,,,,"False","","",""
9006,"10230","1","Large Models","Modular Buildings","2012","Mini Modulars",,1356,59.99,,,"True","10230-1","","673419168250"
8758,"10231","1","Large Models","Sculptures","2011","Shuttle Expedition",3,1230,81.99,99.99,129.99,"True","10231-1","",""
8856,"10285","1","Mindstorms","NXT","2011","Compass Sensor",,1,36.99,54.99,69.99,"True","10285-1","",""
8857,"10286","1","Mindstorms","NXT","2011","Colour Sensor ",,1,36.99,54.99,69.99,"True","10286-1","",""
7029,"10287","1","Mindstorms","NXT","2009","Intelligent NXT Brick (Black)",,1,107.65,169.99,,"True","10287-1","",""
9746,"10531","1","Duplo","","2012","Mickey and Friends",,,,,,"False","","",""
317,"14554","1","Gear","Video Games/Game Boy Advance","2002","BIONICLE: Matoran Adventures",,,,,,"True","14554-1","",""
318,"14555","1","Gear","Video Games/PC","2002","Creator: Harry Potter and the Chamber of Secrets",,,,,,"True","14555-1","",""
319,"14556","1","Gear","Video Games/PC","2002","Island Xtreme Stunts",,,,19.95,,"True","14556-1","",""
320,"14557","1","Gear","Video Games/PlayStation 2","2002","Island Xtreme Stunts",,,,39.95,,"True","14557-1","",""
321,"14558","1","Gear","Video Games/Game Boy Advance","2002","Island Xtreme Stunts",,,,,,"True","14558-1","",""
322,"14559","1","Gear","Video Games/PC","2002","Drome Racers",,,,19.95,,"True","14559-1","",""
324,"14560","1","Gear","Video Games/PlayStation 2","2002","Drome Racers",,,,39.95,,"True","14560-1","",""
325,"14561","1","Gear","Video Games/Game Boy Advance","2002","GALIDOR: Defenders of the Outer Dimension",,,,,,"True","14561-1","",""
6947,"14562","1","Gear","Video Games/PC","2002","GALIDOR: Defenders of the Outer Dimension",,,,,,"False","","",""
6945,"14642","1","Gear","Video Games/Game Boy Advance","2003","Drome Racers",,,,,,"False","","",""
332,"14643","1","Gear","Video Games/Nintendo Gamecube","2003","Drome Racers",,,,,,"True","14643-1","",""
335,"14680","1","Gear","Video Games/PlayStation 2","2003","BIONICLE: The Game",,,,,,"True","14680-1","",""
336,"14681","1","Gear","Video Games/Xbox","2003","BIONICLE: The Game",,,,,,"True","14681-1","",""
337,"14682","1","Gear","Video Games/Nintendo Gamecube","2003","BIONICLE: The Game",,,,,,"True","14682-1","",""
338,"14683","1","Gear","Video Games/PC","2003","BIONICLE: The Game",,,,,,"True","14683-1","",""
7064,"14684","1","Gear","Video Games/Game Boy Advance","2003","BIONICLE: The Game",,,,,,"False","","",""
7461,"15102","1","Dacta","","1972","Thinking with Lego",,250,,,,"True","15102-1","",""
7462,"15103","1","Dacta","","1972","Thinking with Lego",,900,,,,"False","","",""
9505,"16073","1","Gear","Storage","2001","Bionicle Mask Storage Case",,,,,,"False","","",""
7463,"16197","1","Gear","Books","1972","Book "Thinking with Lego"",,0,,,,"False","","",""
7464,"16221","1","Gear","Books","1972","Thinking with Lego / Rules",,0,,,,"False","","",""
629,"18636","1","Gear","Trading/Playing cards","2001","Trading Card Booster Pack",,,,3,,"True","18636-1","",""
9290,"19710","1","Architecture","","2009","Sears Tower",,68,,,,"True","19710-1","",""
9291,"19720","1","Architecture","","2009","John Hancock Center",,69,,,,"False","","",""
6488,"20001","1","Creator","","2008","LEGO Batbot",,103,,,,"True","20001-1","",""
6489,"20002","1","City","Fire","2008","4x4 Fire Truck",1,56,,,,"True","20002-1","",""
6490,"20003","1","Creator","","2008","BrickMaster - Creator",,102,,,,"True","20003-1","",""
6551,"20004","1","Indiana Jones","Kingdom of the Crystal Skull","2008","BrickMaster - Indiana Jones",1,83,,,,"True","20004-1","",""
6583,"20005","1","Bionicle","","2008","BrickMaster - Bionicle",,38,,,,"True","20005-1","","673419108263"
6642,"20006","1","Star Wars","Mini Building Set","2008","Clone Turbo Tank",,64,,,,"True","20006-1","",""
6676,"20007","1","Star Wars","Mini Building Set","2009","Republic Attack Cruiser",,84,,,,"True","20007-1","",""
7113,"20008","1","Creator","","2009","BrickMaster - Creator",,79,4.59,,,"True","20008-1","",""
7180,"20009","1","Star Wars","Mini Building Set","2009","AT-TE Walker",,94,4.59,,,"True","20009-1","",""
7132,"20010","1","Star Wars","Mini Building Set","2009","Republic Gunship",,99,4.59,,,"True","20010-1","","673419112970"
6890,"20011","1","Creator","","2009","BrickMaster - Creator",,74,4.59,,,"True","20011-1","",""
7129,"20012","1","Bionicle","","2009","BrickMaster - Bionicle",,33,4.59,,,"True","20012-1","","673419113199"
7615,"20013","1","Atlantis","","2010","Neptune Microsub",,63,,,,"True","20013-1","","673419128728"
7876,"20014","1","Creator","","2010","4x4 Dynamo",,69,,,,"True","20014-1","",""
7983,"20015","1","Creator","","2010","Crocodile",,89,,,,"True","20015-1","","673419131520"
7917,"20016","1","Star Wars","Mini Building Set","2010","Imperial Shuttle",,70,,,,"True","20016-1","","673419128933"
8021,"20017","1","Prince of Persia","The Sands of Time","2010","BrickMaster - Prince of Persia",1,49,,,,"True","20017-1","",""
8101,"20018","1","Star Wars","Mini Building Set","2010","AT-AT Walker",,88,,,,"True","20018-1","",""
8616,"20019","1","Star Wars","Mini Building Set","2011","Slave I",,76,,,,"True","20019-1","",""
8679,"20020","1","Ninjago","","2011","BrickMaster - Ninjago",,83,,,,"True","20020-1","",""
8726,"20021","1","Star Wars","Mini Building Set","2011","Bounty Hunter Assault Gunship",,81,,,,"True","20021-1","",""
8739,"20200","1","Master Builder Academy","","2011","Space Designer",1,178,,29.99,,"True","20200-1","","673419157445"
8742,"20201","1","Master Builder Academy","","2011","Micro-Scale",,222,,,,"True","20201-1","","673419157452"
8743,"20202","1","Master Builder Academy","","2011","Robots",,155,,,,"True","20202-1","","673419157476"
8744,"20203","1","Master Builder Academy","","2011","Airplanes ",1,150,,,,"True","20203-1","",""
8745,"20204","1","Master Builder Academy","","2012","Creature Designer",,232,,,,"True","20204-1","",""
8746,"20205","1","Master Builder Academy","","2012","Auto Designer",,188,,,,"True","20205-1","",""
9423,"20206","1","Master Builder Academy","","2012","The Lost Village",1,229,,,,"True","20206-1","",""
9424,"20207","1","Master Builder Academy","","2012","The Forbidden Bridge",,220,,,,"True","20207-1","",""
9425,"20208","1","Master Builder Academy","","2012","The Dark Lair",,,,,,"True","20208-1","",""
6679,"21000","1","Architecture","","2008","Sears Tower",,69,17.99,19.99,26.99,"True","21000-1","","673419113274"
8762,"21000","2","Architecture","","2011","Willis Tower",,69,17.99,19.99,24.99,"True","21000-1","",""
6680,"21001","1","Architecture","","2008","John Hancock Center",,69,,19.99,29.99,"True","21001-1","","673419113281"
6896,"21002","1","Architecture","","2009","Empire State Building",,77,19.99,19.99,24.99,"True","21002-1","5702014712836","673419113472"
6897,"21003","1","Architecture","","2009","Seattle Space Needle",,57,19.99,19.99,24.99,"True","21003-1","5702014712843","673419115100"
7130,"21004","1","Architecture","","2009","Solomon Guggenheim Museum",,208,34.99,39.99,49.99,"True","21004-1","5702014712850","673419113489"
7131,"21005","1","Architecture","","2009","Fallingwater",,811,74.99,99.99,129.99,"True","21005-1","5702014712881","673419132466"
8044,"21006","1","Architecture","","2010","The White House",,560,39.99,49.99,59.99,"True","21006-1","",""
8338,"21007","1","Architecture","","2011","Rockefeller Center",,240,34.99,39.99,49.99,"True","21007-1","",""
8707,"21008","1","Architecture","","2011","Burj Khalifa",,208,22.99,24.99,29.99,"True","21008-1","5702014802599",""
8721,"21009","1","Architecture","","2011","Farnsworth House",,546,54.99,59.99,69.99,"True","21009-1","5702014802605",""
8795,"21010","1","Architecture","","2011","Robie House",,2276,169.99,199.99,249.99,"True","21010-1","",""
8794,"21011","1","Architecture","","2011","Brandenburg Gate",,363,34.99,34.99,44.99,"True","21011-1","5702014802636",""
9284,"21012","1","Architecture","","2012","Sydney Opera House",,270,34.99,39.99,49.99,"True","21012-1","",""
9346,"21013","1","Architecture","","2012","Big Ben",,346,24.99,29.99,39.99,"True","21013-1","",""
9363,"21014","1","Architecture","","2012","Villa Savoye",,,,,,"True","21014-1","",""
9364,"21015","1","Architecture","","2012","Eames House",,,,,,"False","","",""
9347,"21016","1","Architecture","","2012","Sungnyemun",,,29.99,34.99,44.99,"True","21016-1","",""
8463,"21100","1","Cuusoo","","2010","Shinkai 6500 Submarine",,412,,,,"True","21100-1","",""
9285,"21101","1","Cuusoo","","2012","Hayabusa",,369,44.99,49.99,56.99,"True","21101-1","",""
9342,"21102","1","Cuusoo","","2012","Minecraft Micro World",,480,34.99,34.99,39.99,"True","21102-1","","673419188067"
9021,"21200","1","Miscellaneous","","2011","Life of George",,146,29.99,29.99,34.99,"True","21200-1","",""
9779,"21201","1","Miscellaneous","","2012","Life Of George",,,,,,"True","21201-1","5702014984134",""
9703,"22011","1","Seasonal","","2012","Season",,,,,,"False","","",""
987,"26374","1","Gear","Trading/Playing cards","2002","Bohrok Swarm Trading Game: Blue Pack",,,,15,,"True","26374-1","",""
988,"26377","1","Gear","Trading/Playing cards","2002","Bohrok Swarm Trading Game: Red Pack",,,,15,,"True","26377-1","",""
989,"26379","1","Gear","Trading/Playing cards","2002","Bohrok Swarm Trading Game: Green Pack",,,,15,,"True","26379-1","",""
7118,"30000","1","City","Medical","2009","Medic's Car",1,32,,,,"True","30000-1","",""
7232,"30001","1","City","Fire","2009","Fireman's Car",1,38,,,,"True","30001-1","",""
7233,"30002","1","City","Police","2009","Police Boat",1,30,,2.99,,"True","30002-1","","673419140157"
7234,"30003","1","City","Construction","2009","Road Roller",1,31,,,,"True","30003-1","",""
7199,"30004","1","Star Wars","Episode I","2009","Battle Droid on STAP",1,28,,,,"True","30004-1","5702014596375",""
7230,"30005","1","Star Wars","Episode IV-VI","2009","Imperial Speeder Bike",1,30,3.99,3.99,,"True","30005-1","",""
7231,"30006","1","Star Wars","The Clone Wars","2009","Clone Walker",1,30,3.99,,,"True","30006-1","",""
7296,"30008","1","Creator","Seasonal","2009","Snowman",,44,,3.5,,"True","30008-1","",""
7297,"30009","1","Creator","Seasonal","2009","Christmas Tree",,47,,3.5,,"True","30009-1","",""
7682,"30010","1","City","Fire","2010","Fire Chief",1,31,,2.99,,"True","30010-1","","673419153836"
8104,"30011","1","City","Police","2010","Police Dinghy",1,16,,,,"True","30011-1","",""
8105,"30012","1","City","Airport","2010","Microlight",1,34,,3.99,,"True","30012-1","",""
8106,"30013","1","City","Police","2010","Police Buggy",1,34,,3.99,,"True","30013-1","",""
8624,"30014","1","City","Police","2011","Police Helicopter",1,32,,,,"True","30014-1","",""
8651,"30015","1","City","Harbour","2011","Jet Ski",2,24,,,,"True","30015-1","",""
8652,"30016","1","City","Space","2011","Satellite",,34,,,,"True","30016-1","",""
9244,"30017","1","City","Forest Police","2012","Police Boat",1,,,,,"True","30017-1","",""
9246,"30018","1","City","Forest Police","2012","Police Microlight",1,,,,,"True","30018-1","",""
9250,"30019","1","City","Fire","2012","Fire Helicopter",,,,,,"True","30019-1","",""
7683,"30020","1","Creator","","2010","Jet",,47,,,,"True","30020-1","5702014695450",""
7684,"30021","1","Creator","","2010","Parrot",,51,,,,"True","30021-1","5702014695467",""
8632,"30022","1","Creator","","2011","Bee",,,,,,"True","30022-1","",""
8633,"30023","1","Creator","","2011","Lighthouse",,25,,,,"True","30023-1","5702014749269",""
8625,"30024","1","Creator","","2011","Truck",,59,,,,"True","30024-1","",""
8617,"30025","1","Creator","","2011","Clown Fish",,59,,3.99,,"True","30025-1","",""
8622,"30026","1","Creator","","2011","Panda",,62,,,,"True","30026-1","5702014749290",""
8634,"30027","1","Creator","","2011","Reindeer",,66,,,,"True","30027-1","",""
8635,"30028","1","Creator","Seasonal","2011","Holiday Wreath",,50,,4.99,,"True","30028-1","","673419171403"
8848,"30029","1","Creator","","2011","Pudsey Bear",,95,4,,,"True","30029-1","",""
7728,"30030","1","Racers","Tiny Turbos","2010","Rally Raider",,36,,,,"True","30030-1","",""
7729,"30031","1","World Racers","","2010","World Race Powerboat",1,27,,3.99,,"True","30031-1","",""
8042,"30032","1","World Racers","","2010","World Race Buggy",1,35,,3.99,,"True","30032-1","",""
7733,"30033","1","Racers","Tiny Turbos","2010","Truck",,45,,,,"True","30033-1","",""
7731,"30034","1","Racers","Tiny Turbos","2010","Tow Truck",,39,,,,"True","30034-1","",""
7732,"30035","1","Racers","Tiny Turbos","2010","Off-Road Racer 2",,33,,,,"True","30035-1","",""
8636,"30036","1","Racers","Tiny Turbos","2011","Buggy Racer",,26,,,,"True","30036-1","",""
7722,"30040","1","Atlantis","","2010","Octopus",,42,,3.99,,"True","30040-1","",""
7723,"30041","1","Atlantis","","2010","Piranha",,49,,,,"True","30041-1","",""
7724,"30042","1","Atlantis","","2010","Mini Sub",1,36,2.49,3.99,,"True","30042-1","5702014695542",""
7725,"30050","1","Star Wars","Mini Building Set","2010","Republic Attack Shuttle",,54,,3.49,,"True","30050-1","","673419138611"
7726,"30051","1","Star Wars","Mini Building Set","2011","Mini X-wing",,61,,3.49,,"True","30051-1","","673419138604"
8618,"30052","1","Star Wars","Mini Building Set","2011","AAT",,46,,3.99,,"True","30052-1","","673419164221"
8619,"30053","1","Star Wars","Mini Building Set","2011","Venator Class Republic Attack Cruiser",,41,,,,"True","30053-1","","673419158442"
8680,"30054","1","Star Wars","Mini Building Set","2011","AT-ST",,46,,,,"True","30054-1","",""
8696,"30055","1","Star Wars","Mini Building Set","2011","Droid Fighter",,45,,,,"True","30055-1","",""
9219,"30056","1","Star Wars","Mini Building Set","2012","Star Destroyer",,38,,,,"True","30056-1","",""
9253,"30057","1","Star Wars","Mini Building Set","2012","Anakin's Pod Racer",,38,4.99,4.99,,"True","30057-1","",""
9220,"30058","1","Star Wars","Episode I","2012","STAP",1,24,,,,"True","30058-1","",""
9260,"30059","1","Star Wars","Mini Building Set","2012","{Tank}",,,,,,"True","30059-1","",""
7918,"30060","1","Duplo","Farm","2010","Farm Set",1,4,,,,"True","30060-1","",""
7919,"30061","1","Castle","Kingdoms","2010","Attack Wagon",1,35,,,,"True","30061-1","",""
7920,"30062","1","Castle","Kingdoms","2010","Target Practice",1,31,,3.99,,"True","30062-1","","673419147378"
9662,"30063","1","Duplo","","2012","Vet",,4,,,,"True","30063-1","",""
9274,"30064","1","Duplo","","2012","Zoo",1,4,,,,"True","30064-1","",""
7938,"30070","1","Toy Story","","2010","Alien Space Ship",1,29,2.29,3.99,,"True","30070-1","",""
8019,"30071","1","Toy Story","","2010","Army Jeep",1,37,,3.99,,"True","30071-1","","673419147361"
8047,"30072","1","Toy Story","","2010","Woody's Camp Out",1,18,,,,"True","30072-1","",""
8066,"30073","1","Toy Story","","2010","Buzz's Mini Ship",1,23,,,,"True","30073-1","",""
8646,"30080","1","Ninjago","Promotional","2011","Ninja Glider",1,26,,3.47,,"True","30080-1","","673419147521"
8647,"30081","1","Ninjago","Promotional","2011","Skeleton Chopper",1,41,4.99,,,"True","30081-1","",""
8648,"30082","1","Ninjago","Promotional","2011","Ninja Training",1,32,,3.47,,"True","30082-1","",""
8649,"30083","1","Ninjago","Promotional","2011","Dragon Fight",1,31,,,,"True","30083-1","",""
8626,"30084","1","Ninjago","Promotional","2011","Jay",1,5,,,,"True","30084-1","",""
9095,"30085","1","Ninjago","Promotional","2012","Jumping Snakes",1,42,,,,"True","30085-1","",""
9096,"30086","1","Ninjago","Promotional","2012","Hidden Sword",1,,,,,"True","30086-1","",""
9097,"30087","1","Ninjago","Promotional","2012","Car",1,27,,,,"True","30087-1","",""
9275,"30088","1","Ninjago","Promotional","2012","Rattla",1,,,,,"True","30088-1","",""
8722,"30090","1","Pharaoh's Quest","","2011","Desert Glider",1,33,,,,"True","30090-1","",""
8723,"30091","1","Pharaoh's Quest","","2011","Desert Rover",1,34,,,,"True","30091-1","",""
9245,"30100","1","Friends","Promotional","2012","Beach",,,,,,"True","30100-1","",""
9248,"30101","1","Friends","Promotional","2012","Skateboarder",1,,,4.99,,"True","30101-1","",""
9252,"30102","1","Friends","Promotional","2012","Desk",1,26,,3.97,,"True","30102-1","",""
9249,"30103","1","Friends","Promotional","2012","Car",1,32,,3.97,,"True","30103-1","",""
9251,"30105","1","Friends","Promotional","2012","Mailbox",1,41,,3.99,,"True","30105-1","",""
8727,"30110","1","Harry Potter","Mini Building Set","2011","Trolley",1,22,,4.99,,"True","30110-1","",""
8728,"30111","1","Harry Potter","Mini Building Set","2011","The Lab",1,34,,3.99,,"True","30111-1","","673419158480"
8770,"30120","1","Cars","","2011","Guido",,32,,,,"True","30120-1","",""
8760,"30121","1","Cars","","2011","Grem",,54,3.99,,,"True","30121-1","",""
8724,"30130","1","Pirates of the Caribbean","","2011","Mini Black Pearl",,50,,,,"True","30130-1","",""
8734,"30131","1","Pirates of the Caribbean","","2011","Jack Sparrow's Boat",1,22,,,,"True","30131-1","",""
8725,"30132","1","Pirates of the Caribbean","","2011","{Captain Jack Sparrow}",1,4,,2.99,,"True","30132-1","",""
8845,"30133","1","Pirates of the Caribbean","","2011","Jack Sparrow",1,5,,,,"True","30133-1","",""
8785,"30140","1","Space","Alien Conquest","2011","ADU Walker",1,34,,,,"True","30140-1","",""
8730,"30141","1","Space","Alien Conquest","2011","Jetpack",1,19,,,,"True","30141-1","","673419158497"
9247,"30150","1","City","Traffic","2012","Racing Car",1,37,,4.99,,"True","30150-1","",""
9700,"30151","1","City","Mining","2012","Mining Dozer",,,,,,"True","30151-1","",""
9660,"30152","1","City","Mining","2012","Mining Quad",,40,,4.99,,"True","30152-1","","673419184465"
9255,"30160","1","Super Heroes","DC Universe","2012","Batman Jetski",1,40,,4.99,,"True","30160-1","",""
9256,"30161","1","Super Heroes","DC Universe","2012","{Batmobile}",,45,,,,"True","30161-1","",""
9636,"30162","1","Super Heroes","Marvel Universe","2012","Quinjet",,,,,,"True","30162-1","",""
9637,"30163","1","Super Heroes","Marvel Universe","2012","Thor and the Cosmic cube",1,25,,4.99,,"True","30163-1","",""
9513,"30164","1","Super Heroes","DC Universe","2012","Lex Luthor",1,,,,,"True","30164-1","",""
9638,"30165","1","Super Heroes","Marvel Universe","2012","Hawkeye with equipment",1,,,,,"True","30165-1","",""
9254,"30170","1","Games","Heroica","2012","Ganrash",,,,,,"True","30170-1","",""
9257,"30180","1","Creator","","2012","Aircraft",,,,,,"True","30180-1","",""
9258,"30181","1","Creator","","2012","Helicopter",,,,,,"True","30181-1","",""
9259,"30182","1","Creator","","2012","Santa",,,,,,"True","30182-1","",""
9693,"30190","1","Racers","Ferrari","2012","Ferrari 150   Italia",,,,,,"True","30190-1","",""
9702,"30191","1","Racers","Ferrari","2012","Scuderia Ferrari Truck",,,,,,"True","30191-1","",""
9692,"30192","1","Racers","Ferrari","2012","F40",,,,,,"True","30192-1","",""
9688,"30193","1","Racers","Ferrari","2012","250 GT Berlinetta",,,,,,"True","30193-1","",""
9689,"30194","1","Racers","Ferrari","2012","458 Italia",,,,,,"True","30194-1","",""
9696,"30195","1","Racers","Ferrari","2012","FXX",,,,,,"True","30195-1","",""
9705,"30200","1","Monster Fighters","Promotional","2012","Zombie chauffeur coffin car",,,,,,"True","30200-1","",""
9658,"30201","1","Monster Fighters","Promotional","2012","Ghost",,,,,,"True","30201-1","",""
9695,"30210","1","Lord of the Rings","Promotional","2012","Frodo with cooking corner",,,,,,"True","30210-1","",""
9704,"30211","1","Lord of the Rings","Promotional","2012","Uruk Hai with ballista",,,,,,"True","30211-1","",""
7283,"40000","1","Seasonal","Christmas","2009","Cool Santa Set",,152,6.85,9.99,,"True","40000-1","","673419134170"
7284,"40001","1","Seasonal","Christmas","2009","Santa Claus",,42,2.95,4.99,,"True","40001-1","","673419134194"
7285,"40002","1","Seasonal","Christmas","2009","Xmas Tree",,61,2.95,4.99,,"True","40002-1","","673419134200"
7286,"40003","1","Seasonal","Christmas","2009","Snowman",,44,2.95,4.99,,"True","40003-1","","673419134187"
7743,"40004","1","Seasonal","Valentines","2010","Heart",,26,2.99,4.99,,"True","40004-1","",""
7893,"40005","1","Seasonal","Easter","2010","Bunny",,81,4.99,9.99,14.99,"True","40005-1","",""
8128,"40008","1","Seasonal","Christmas","2010","Snowman Building Set",,64,2.99,4.99,,"True","40008-1","",""
8129,"40009","1","Seasonal","Christmas","2010","Holiday Building Set",,85,2.99,4.99,,"True","40009-1","",""
8108,"40010","1","Seasonal","Christmas","2010","Santa with Sleigh Building Set",,71,2.99,4.99,,"True","40010-1","",""
8130,"40011","1","Seasonal","Thanksgiving","2010","Thanksgiving Turkey",,52,,4.99,,"True","40011-1","",""
8132,"40012","1","Seasonal","Halloween","2010","Halloween Pumpkin",,18,1.99,1.99,,"True","40012-1","","673419145985"
8133,"40013","1","Seasonal","Halloween","2010","Halloween Ghost",,18,1.99,1.99,,"True","40013-1","","673419145992"
8134,"40014","1","Seasonal","Halloween","2010","Halloween Bat",,25,1.99,1.99,,"True","40014-1","","673419146005"
8499,"40015","1","Seasonal","Valentines","2011","Heart Book",,51,2.99,4.99,,"True","40015-1","",""
8500,"40016","1","Seasonal","Valentines","2011","Valentine Letter Set",,41,2.99,4.99,,"True","40016-1","",""
8668,"40017","1","Seasonal","Easter","2011","Easter Basket",,86,2.99,4.99,,"True","40017-1","",""
8669,"40018","1","Seasonal","Easter","2011","Easter Bunny",,95,2.99,4.99,,"True","40018-1","",""
8670,"40019","1","Seasonal","Easter","2011","Brickley The Sea Serpent",,59,,,,"True","40019-1","",""
8789,"40020","1","Seasonal","Halloween","2011","Halloween Set",,71,3.99,4.99,6.99,"True","40020-1","",""
8790,"40021","1","Seasonal","Halloween","2011","Spiders Set",,54,3.99,4.99,6.99,"True","40021-1","","673419160360"
8791,"40022","1","Seasonal","Christmas","2011","Mini Santa Set",,72,3.99,4.99,6.99,"True","40022-1","",""
8792,"40023","1","Seasonal","Christmas","2011","Holiday Stocking",,76,3.99,4.99,6.99,"True","40023-1","",""
8793,"40024","1","Seasonal","Christmas","2011","Christmas Tree",,77,3.99,4.99,6.99,"True","40024-1","",""
9276,"40025","1","Creator","","2012","New York Taxi",,44,,,,"True","40025-1","",""
9277,"40026","1","Creator","","2012","Statue Of Liberty",,39,,5.49,,"True","40026-1","",""
9690,"40027","1","Seasonal","Christmas","2011","Christmas Candle",,,,,,"False","","",""
8821,"40028","1","Harry Potter","Mini Building Set","2011","Mini Hogwarts Express",,64,3.99,4.99,6.99,"True","40028-1","","673419165105"
9216,"40029","1","Seasonal","Valentines","2012","Valentine's Day Box",,51,3.99,4.99,6.99,"True","40029-1","",""
9375,"40030","1","Seasonal","Easter","2012","Duck with Ducklings",,51,3.99,4.99,6.99,"True","40030-1","",""
9376,"40031","1","Seasonal","Easter","2012","Bunny and Chick",,52,3.99,4.99,6.99,"True","40031-1","",""
9542,"40032","1","Miscellaneous","","2012","Witch",,,,,,"False","","",""
9543,"40033","1","Miscellaneous","","2012","Turkey",,,,,,"False","","",""
9544,"40034","1","Miscellaneous","","2012","Christmas train",,,,,,"False","","",""
9545,"40035","1","Miscellaneous","","2012","Rocking Horse",,,,,,"False","","",""
9261,"40036","1","Promotional","Monthly Mini Model Build","2012","Cobra",,37,0,,,"True","40036-1","",""
9278,"40037","1","Promotional","Monthly Mini Model Build","2012","Hockey player",,43,0,0,,"True","40037-1","",""
9279,"40038","1","Promotional","Monthly Mini Model Build","2012","Worm & Earth",,29,0,0,,"True","40038-1","",""
9641,"40039","1","Promotional","Monthly Mini Model Build","2012","Tulip",,,0,,,"True","40039-1","",""
9758,"40040","1","Promotional","Monthly Mini Model Build","2012","Olympic flame",,,,,,"True","40040-1","",""
9439,"40043","1","Promotional","Monthly Mini Model Build","2012","Duck",,,0,0,,"True","40043-1","",""
9651,"40044","1","Promotional","Monthly Mini Model Build","2012","Lawnmower",,25,0,0,,"True","40044-1","",""
9377,"40048","1","Seasonal","Birthday","2012","Birthday Cake",,,,,,"True","40048-1","",""
9546,"40049","1","Miscellaneous","","2012","Sopwith Camel",,,0,0,,"True","40049-1","","673419182324"
9547,"40050","1","Miscellaneous","","2012","BMW",,,,,,"False","","",""
9548,"40051","1","Seasonal","Valentines","2013","{Valentines 2013}",,,,,,"False","","",""
9549,"40052","1","Seasonal","Easter","2013","{Easter 2013}",,,,,,"False","","",""
9550,"40053","1","Seasonal","Easter","2013","{Easter 2013}",,,,,,"False","","",""
9551,"40054","1","Seasonal","","2013","{Summer 2013}",,,,,,"False","","",""
9552,"40055","1","Seasonal","Halloween","2013","{Halloween 2013}",,,,,,"False","","",""
9553,"40056","1","Seasonal","Thanksgiving","2013","{Thanksgiving 2013}",,,,,,"False","","",""
9554,"40057","1","Seasonal","","2013","{Fall 2013}",,,,,,"False","","",""
9555,"40058","1","Seasonal","Christmas","2013","{Christmas 2013}",,,,,,"False","","",""
9556,"40059","1","Seasonal","Christmas","2013","{Christmas 2013}",,,,,,"False","","",""
9557,"40076","1","Monster Fighters","","2013","{?}",,,,,,"False","","",""
9558,"41000","1","Miscellaneous","","2012","Jet Ski",,,,,,"False","","",""
9559,"41001","1","Miscellaneous","","2012","Magician",,,,,,"False","","",""
9560,"41002","1","Miscellaneous","","2012","Karate",,,,,,"False","","",""
9561,"41003","1","Miscellaneous","","2012","Foal",,,,,,"False","","",""
9562,"41004","1","Miscellaneous","","2012","Practice Stage",,,,,,"False","","",""
9563,"41007","1","Miscellaneous","","2012","Pet Parlour",,,,,,"False","","",""
9564,"41008","1","Miscellaneous","","2012","Pool",,,,,,"False","","",""
9565,"41011","1","Miscellaneous","","2012","Soccer",,,,,,"False","","",""
9566,"41013","1","Miscellaneous","","2012","Car",,,,,,"False","","",""
9567,"41017","1","Miscellaneous","","2012","Squirrel",,,,,,"False","","",""
9568,"41018","1","Miscellaneous","","2012","Cat",,,,,,"False","","",""
9569,"41019","1","Miscellaneous","","2012","Turtle",,,,,,"False","","",""
9570,"41020","1","Miscellaneous","","2012","Hedgehog",,,,,,"False","","",""
9571,"41021","1","Miscellaneous","","2012","Poodle",,,,,,"False","","",""
9572,"41022","1","Miscellaneous","","2012","Bunny",,,,,,"False","","",""
